label,jenis,teks_dialog,teks_kritik,skor_critic,waktu_detik,cosine_similarity
bad,rephrase,"Tadi pagi, saya dimarahi Ibu karena lemari kayu warisan keluarga itu diam-diam saya hibahkan untuk dijadikan rak buku bersama, kak. Niat saya memang baik, tetapi ternyata bagi Ibu, lemari tersebut bukan cuma perabot; itu adalah satu-satunya kenangan yang tersisa dari almarhum suaminya. Saya khawatir, tindakan saya justru membuat Ibu seolah kehilangan untuk kedua kalinya. Semoga masih ada jalan untuk menerangkan maksud saya tanpa semakin menyakiti hatinya.","Dialog menghadirkan konflik yang spesifik dan emosional sehingga menarik serta sesuai dengan state curhat. Kecemasan, rasa bersalah, dan keinginan untuk tidak menyakiti ibunya selaras dengan neuroticism dan agreeableness yang tinggi. Namun, tuturan yang panjang dan kaya detail bertentangan dengan extraversion rendah yang mengharuskan Kania berbicara pendek dan hati-hati. Sapaan ""kak"" juga tidak sesuai dengan gaya wanita berusia tua yang semestinya menggunakan ""nak"", sedangkan frasa ""almarhum suaminya"" terasa berjarak dan kurang alami ketika merujuk pada suami ibunya sendiri.",3.88,11.035,0.85494804
bad,rephrase,"Tadi pagi, saya dimarahi Ibu karena lemari kayu warisan keluarga itu diam-diam saya hibahkan untuk dijadikan rak buku bersama, kak. Niat saya memang baik, tetapi ternyata bagi Ibu, lemari tersebut bukan cuma perabot; itu adalah satu-satunya kenangan yang tersisa dari almarhum suaminya. Saya khawatir, tindakan saya justru membuat Ibu seolah kehilangan untuk kedua kalinya. Semoga masih ada jalan untuk menerangkan maksud saya tanpa semakin menyakiti hatinya.","Konflik tentang lemari warisan disampaikan secara spesifik dan emosional sehingga menarik serta sesuai dengan state curhat. Kecemasan, rasa bersalah, dan keinginan untuk tidak menyakiti sang ibu cocok dengan neuroticism dan agreeableness yang tinggi. Namun, dialog terlalu panjang dan terperinci untuk extraversion rendah yang mengharuskan Kania berbicara singkat serta hati-hati. Sapaan ""kak"" juga tidak selaras dengan usia dan gaya khas Kania yang seharusnya sering menggunakan ""nak"", sementara frasa ""almarhum suaminya"" terdengar agak berjarak jika yang dimaksud adalah ayah Kania.",3.75,11.796,0.8832338
bad,rephrase,"Tadi pagi, saya dimarahi Ibu karena lemari kayu warisan keluarga itu diam-diam saya hibahkan untuk dijadikan rak buku bersama, kak. Niat saya memang baik, tetapi ternyata bagi Ibu, lemari tersebut bukan cuma perabot; itu adalah satu-satunya kenangan yang tersisa dari almarhum suaminya. Saya khawatir, tindakan saya justru membuat Ibu seolah kehilangan untuk kedua kalinya. Semoga masih ada jalan untuk menerangkan maksud saya tanpa semakin menyakiti hatinya.","Konflik mengenai lemari warisan disampaikan secara spesifik, emosional, dan sesuai dengan state curhat. Kecemasan, rasa bersalah, serta keinginan untuk tidak menyakiti orang lain mencerminkan neuroticism dan agreeableness yang tinggi. Namun, dialog terlalu panjang dan terbuka untuk karakter dengan extraversion rendah yang seharusnya berbicara pendek serta hati-hati. Sapaan ""kak"" juga bertentangan dengan gaya Kania sebagai wanita tua yang biasa menyapa ""nak"", sedangkan frasa ""almarhum suaminya"" terasa terlalu berjarak untuk hubungan keluarga dekat.",3.88,12.027,0.9049394
bad,rephrase,"Tadi pagi, saya dimarahi Ibu karena lemari kayu warisan keluarga itu diam-diam saya hibahkan untuk dijadikan rak buku bersama, kak. Niat saya memang baik, tetapi ternyata bagi Ibu, lemari tersebut bukan cuma perabot; itu adalah satu-satunya kenangan yang tersisa dari almarhum suaminya. Saya khawatir, tindakan saya justru membuat Ibu seolah kehilangan untuk kedua kalinya. Semoga masih ada jalan untuk menerangkan maksud saya tanpa semakin menyakiti hatinya.","Konflik mengenai lemari warisan disampaikan secara spesifik, emosional, dan sesuai dengan state curhat. Kecemasan, rasa bersalah, serta keinginan untuk tidak menyakiti Ibu mencerminkan neuroticism dan agreeableness yang tinggi. Namun, dialog terlalu panjang dan terperinci untuk extraversion rendah serta perilaku wajib yang menghendaki jawaban pendek dan hati-hati. Sapaan ""kak"" juga tidak sesuai dengan gaya Kania sebagai orang tua yang biasanya menggunakan ""nak"", sementara frasa ""almarhum suaminya"" terasa agak berjarak jika yang dimaksud adalah ayah Kania.",3.88,13.461,0.93018764
bad,rephrase,"Tadi pagi, saya dimarahi Ibu karena lemari kayu warisan keluarga itu diam-diam saya hibahkan untuk dijadikan rak buku bersama, kak. Niat saya memang baik, tetapi ternyata bagi Ibu, lemari tersebut bukan cuma perabot; itu adalah satu-satunya kenangan yang tersisa dari almarhum suaminya. Saya khawatir, tindakan saya justru membuat Ibu seolah kehilangan untuk kedua kalinya. Semoga masih ada jalan untuk menerangkan maksud saya tanpa semakin menyakiti hatinya.","Konflik tentang lemari warisan disampaikan secara spesifik, emosional, dan mudah dipahami sehingga cocok dengan state curhat. Kecemasan, rasa bersalah, dan keinginan untuk tidak menyakiti sang ibu sesuai dengan Neuroticism dan Agreeableness yang tinggi. Namun, dialog terlalu panjang dan terperinci untuk karakter ber-Extraversion rendah yang seharusnya berbicara pendek serta hati-hati. Sapaan ""kak"" juga tidak cocok dengan usia dan gaya Kania yang semestinya memakai ""nak"", sedangkan penyebutan ""almarhum suaminya"" terasa berjarak dan kurang alami jika yang dimaksud adalah ayah Kania.",3.88,11.782,0.9055331
bad,rephrase,"Tadi pagi, saya dimarahi Ibu karena lemari kayu warisan keluarga itu diam-diam saya hibahkan untuk dijadikan rak buku bersama, kak. Niat saya memang baik, tetapi ternyata bagi Ibu, lemari tersebut bukan cuma perabot; itu adalah satu-satunya kenangan yang tersisa dari almarhum suaminya. Saya khawatir, tindakan saya justru membuat Ibu seolah kehilangan untuk kedua kalinya. Semoga masih ada jalan untuk menerangkan maksud saya tanpa semakin menyakiti hatinya.","Dialog menyajikan konflik keluarga yang spesifik dan emosional sehingga menarik serta sesuai dengan state curhat. Kecemasan, rasa bersalah, dan keinginan untuk tidak menyakiti sang ibu mencerminkan neuroticism dan agreeableness yang tinggi. Namun, tuturan yang panjang dan sarat detail bertentangan dengan extraversion rendah serta perilaku wajib yang menghendaki jawaban pendek dan hati-hati. Sapaan ""kak"" juga tidak selaras dengan usia dan gaya Kania yang seharusnya formal, bijak, dan sering menyapa lawan bicara dengan ""nak"".",3.88,11.291,0.80332184
bad,rephrase,"Tadi pagi, saya dimarahi Ibu karena lemari kayu warisan keluarga itu diam-diam saya hibahkan untuk dijadikan rak buku bersama, kak. Niat saya memang baik, tetapi ternyata bagi Ibu, lemari tersebut bukan cuma perabot; itu adalah satu-satunya kenangan yang tersisa dari almarhum suaminya. Saya khawatir, tindakan saya justru membuat Ibu seolah kehilangan untuk kedua kalinya. Semoga masih ada jalan untuk menerangkan maksud saya tanpa semakin menyakiti hatinya.","Konflik tentang lemari warisan disampaikan secara spesifik, emosional, dan sesuai dengan state curhat. Kecemasan, penyesalan, serta upaya memaklumi perasaan Ibu mencerminkan neuroticism dan agreeableness yang tinggi. Namun, dialog terlalu panjang dan terperinci untuk extraversion rendah yang mengharuskan Kania berbicara singkat serta hati-hati. Sapaan ""kak"" juga tidak selaras dengan identitas Kania sebagai wanita berusia orang tua yang bergaya bijak dan biasanya menyapa lawan bicara dengan ""nak"".",3.88,11.44,0.8484582
bad,rephrase,"Tadi pagi, saya dimarahi Ibu karena lemari kayu warisan keluarga itu diam-diam saya hibahkan untuk dijadikan rak buku bersama, kak. Niat saya memang baik, tetapi ternyata bagi Ibu, lemari tersebut bukan cuma perabot; itu adalah satu-satunya kenangan yang tersisa dari almarhum suaminya. Saya khawatir, tindakan saya justru membuat Ibu seolah kehilangan untuk kedua kalinya. Semoga masih ada jalan untuk menerangkan maksud saya tanpa semakin menyakiti hatinya.","Konflik mengenai lemari warisan disampaikan secara spesifik, emosional, dan sesuai dengan state curhat serta Neuroticism yang tinggi. Sikap penuh penyesalan dan usaha memaklumi perasaan Ibu juga cocok dengan Agreeableness yang tinggi. Namun, dialog terlalu panjang dan terbuka untuk Extraversion yang rendah, padahal NPC seharusnya berbicara pendek, hati-hati, dan tidak banyak memberikan detail. Sapaan ""kak"" juga tidak sesuai dengan gaya orang tua yang seharusnya menggunakan ""nak"", sementara penyebutan Ibu dan almarhum suaminya menimbulkan sedikit kejanggalan usia atau relasi.",3.88,10.046,0.864344
bad,rephrase,"Tadi pagi, saya dimarahi Ibu karena lemari kayu warisan keluarga itu diam-diam saya hibahkan untuk dijadikan rak buku bersama, kak. Niat saya memang baik, tetapi ternyata bagi Ibu, lemari tersebut bukan cuma perabot; itu adalah satu-satunya kenangan yang tersisa dari almarhum suaminya. Saya khawatir, tindakan saya justru membuat Ibu seolah kehilangan untuk kedua kalinya. Semoga masih ada jalan untuk menerangkan maksud saya tanpa semakin menyakiti hatinya.","Konflik mengenai lemari warisan disampaikan secara spesifik, emosional, dan cocok dengan state curhat serta neuroticism yang tinggi. Nada lembut, penuh penyesalan, dan berusaha memahami perasaan Ibu sesuai dengan agreeableness Kania. Namun, dialog terlalu panjang dan terbuka untuk karakter dengan extraversion rendah yang diwajibkan berbicara pendek serta hati-hati. Sapaan ""kak"" tidak sesuai dengan gaya khas Kania yang sering memakai ""nak"", sedangkan frasa ""almarhum suaminya"" terdengar berjarak dan kurang alami jika yang dimaksud adalah ayah Kania.",3.88,10.22,0.88069236
bad,rephrase,"Tadi pagi, saya dimarahi Ibu karena lemari kayu warisan keluarga itu diam-diam saya hibahkan untuk dijadikan rak buku bersama, kak. Niat saya memang baik, tetapi ternyata bagi Ibu, lemari tersebut bukan cuma perabot; itu adalah satu-satunya kenangan yang tersisa dari almarhum suaminya. Saya khawatir, tindakan saya justru membuat Ibu seolah kehilangan untuk kedua kalinya. Semoga masih ada jalan untuk menerangkan maksud saya tanpa semakin menyakiti hatinya.","Dialog menyajikan konflik keluarga yang spesifik dan emosional sehingga menarik serta sesuai dengan state curhat. Kecemasan, rasa bersalah, dan upaya memaklumi perasaan Ibu selaras dengan neuroticism dan agreeableness yang tinggi. Namun, tuturan yang panjang dan sangat terperinci bertentangan dengan extraversion rendah serta arahan bahwa NPC harus berbicara pendek dan hati-hati. Sapaan ""kak"" juga tidak konsisten dengan usia dan gaya khas Kania yang seharusnya menggunakan ""nak"", sedangkan frasa ""rak buku bersama"" terasa kurang jelas konteksnya.",3.88,11.577,0.80926514
