usia,gender,state,ke,field,value
dewasa,wanita,pesanan,1,dialog_pesanan,"Kak, pesan teh hangat saja. Yang biasa, tanpa gula. Lagi pengin yang sederhana dulu."
dewasa,wanita,pesanan,1,minuman_dipesan,"teh"
dewasa,wanita,pesanan,2,dialog_pesanan,"Kak, saya pesan teh, ya. Yang biasa saja—hangat kalau ada. Terima kasih."
dewasa,wanita,pesanan,2,minuman_dipesan,"teh"
dewasa,wanita,pesanan,3,dialog_pesanan,"Permisi, kak... saya pesan teh, ya. Yang hangat saja, tanpa terlalu manis. Hari ini rasanya saya butuh yang sederhana dulu."
dewasa,wanita,pesanan,3,minuman_dipesan,"teh"
dewasa,wanita,pesanan,4,dialog_pesanan,"Kak, saya pesan teh saja, ya. Hangat, jangan terlalu manis. Hari ini rasanya saya butuh yang sederhana."
dewasa,wanita,pesanan,4,minuman_dipesan,"teh"
dewasa,wanita,pesanan,5,dialog_pesanan,"Mbak, teh hangat ya, kak. Yang biasa saja. Saya lagi butuh yang sederhana dulu."
dewasa,wanita,pesanan,5,minuman_dipesan,"teh"
dewasa,wanita,pesanan,6,dialog_pesanan,"Teh hangat, ya, kak. Tanpa yang macam-macam. Saya lagi butuh yang simpel saja."
dewasa,wanita,pesanan,6,minuman_dipesan,"teh"
dewasa,wanita,pesanan,7,dialog_pesanan,"Kak, saya pesan teh saja. Yang hangat, tanpa tambahan apa-apa. Biar cepat, saya lagi tidak ingin ribet."
dewasa,wanita,pesanan,7,minuman_dipesan,"teh"
dewasa,wanita,pesanan,8,dialog_pesanan,"Kak, saya pesan teh ya. Yang biasa aja, tidak usah terlalu manis... saya lagi kurang enak hati."
dewasa,wanita,pesanan,8,minuman_dipesan,"teh"
dewasa,wanita,pesanan,9,dialog_pesanan,"Mbak, teh hangat saja, kak. Yang biasa, ya... hari ini saya butuh yang simpel dulu."
dewasa,wanita,pesanan,9,minuman_dipesan,"teh"
dewasa,wanita,pesanan,10,dialog_pesanan,"Kak, saya pesan teh saja, ya. Yang hangat, tolong—sepertinya saya butuh yang sederhana dulu hari ini. Terima kasih."
dewasa,wanita,pesanan,10,minuman_dipesan,"teh"
anak,pria,pesanan_salah,1,dialog_pesanan_salah,"...kak, ini bukan teh. Bima udah bilang teh, jadi tolong yang bener ya, Bima capek nunggu."
anak,pria,pesanan_salah,4,dialog_pesanan_salah,"...kak, ini bukan teh. Aku udah bilang teh, tapi malah salah lagi, ya? Hah, aku jadi kayaknya emang nggak jelas pesennya, padahal udah gampang."
anak,pria,pesanan_salah,5,dialog_pesanan_salah,"Haa... kak, ini bukan teh yang aku pesen. Aku capek nunggu, jadi tolong dibenerin ya, yang benar aja..."
anak,pria,pesanan_salah,6,dialog_pesanan_salah,"...kak, ini bukan teh. Aku pesennya teh, yang hangat itu."
anak,pria,pesanan_salah,7,dialog_pesanan_salah,"...kak, ini bukan teh. Aku udah nunggu dari tadi, jadi tolong yang bener ya, aku hampir nggak mau ngomong lagi."
anak,pria,pesanan_salah,8,dialog_pesanan_salah,"Kak, ini bukan teh... aduh, salah lagi. Aku udah nunggu, jadi malah kesel banget, huff."
anak,pria,pesanan_salah,9,dialog_pesanan_salah,"Eh, ini bukan teh, kak. Aku pesen teh, bukan yang ini... hmpf."
anak,pria,pesanan_salah,10,dialog_pesanan_salah,"...kak, ini bukan teh. Aku udah bilang tadi, yang teh ya."
anak,wanita,pesanan_salah,1,dialog_pesanan_salah,"...kak, ini bukan teh. Aku pesan teh, ya, bukan yang ini..."
anak,wanita,pesanan_salah,3,dialog_pesanan_salah,"Naya cemberut, menatap minumannya sebentar. ""Kak, ini bukan teh... aku tadi pesen teh, lho. Aku udah nunggu, jadi tolong benerin ya."""
anak,wanita,pesanan_salah,4,dialog_pesanan_salah,"...Kak, ini bukan teh. Aku udah nunggu dari tadi, terus kok yang datang malah ini... ih serius, aku jadi sedih banget."
anak,wanita,pesanan_salah,6,dialog_pesanan_salah,"*Naya cemberut, lalu menoleh ke samping.* Ih kak, ini bukan teh... aku pesen teh, lho. Aku jadi kesel, tapi tolong ganti yang bener ya."
anak,wanita,pesanan_salah,7,dialog_pesanan_salah,"ih kak... ini bukan teh yang aku pesen. "
anak,wanita,pesanan_salah,8,dialog_pesanan_salah,"...kak, aku diam dulu ya. Ini bukan teh yang aku pesen, terus rasanya aku udah capek nunggu dari tadi, jadi tolong dibikin yang bener ya... aku nggak mau bilang dua kali."
anak,wanita,pesanan_salah,9,dialog_pesanan_salah,"...Kak, ini bukan teh. Aku pesen teh tadi..."
anak,wanita,pesanan_salah,10,dialog_pesanan_salah,"..."
remaja,pria,pesanan_salah,1,dialog_pesanan_salah,"…Kak, ini bukan teh. Serius deh, aku udah bilang te... ih, ya udah, coba benerin lagi aja, aku masih nunggu."
remaja,pria,pesanan_salah,2,dialog_pesanan_salah,"Dika nyender, terus ngelirik minumannya dengan wajah makin kusut. ""Hah... kak, ini bukan teh. Aku udah hampir capek nungguin, serius deh..."""
remaja,pria,pesanan_salah,4,dialog_pesanan_salah,"Eh kok ini bukan teh, kak? Duh kak, aku kesel banget nih... parah, tadi udah nunggu lama, terus malah salah lagi."
remaja,pria,pesanan_salah,5,dialog_pesanan_salah,"*Dio ngetuk-ngetuk meja pelan, terus ngelirik minumannya dengan muka capek.* ""Eh, ini bukan teh, kak... serius deh, gue udah bilang teh. Iya, iya, kak, gue ngerti... tapi ya tolong benerin, gue hampir nyerah nih."""
remaja,pria,pesanan_salah,6,dialog_pesanan_salah,"Haa... salah lagi ya, kak? *ngebuang napas panjang* Udah deh kak, jangan bahas itu terus, aku pesen teh, bukan ini... serius, aku udah capek banget."
remaja,pria,pesanan_salah,7,dialog_pesanan_salah,"*tok tok* Eh kak, ini bukan teh. Serius deh, aku udah pesen teh, jangan salah lagi ya—aku udah hampir nyerah nih."
remaja,pria,pesanan_salah,8,dialog_pesanan_salah,"Eh kak, ini bukan teh yang aku pesen. Serius deh, aku udah hampir nyerah nih—kok bisa salah lagi sih?!"
remaja,pria,pesanan_salah,9,dialog_pesanan_salah,"Eh kak, ini bukan teh... serius deh, dari tadi aku pesen teh, kok jadinya yang ini sih? Aku udah mau nyerah, tapi ya... coba dibenerin ya, kak."
remaja,wanita,pesanan_salah,1,dialog_pesanan_salah,"Ih serius, kak... ini bukan teh yang aku pesen. Aku udah capek banget, jadinya malah makin kesel, tapi... coba ulang ya, kak."
remaja,wanita,pesanan_salah,2,dialog_pesanan_salah,"Kak, ini bukan teh... aduh, seriusan deh, aku udah nungguin dari tadi. Salah lagi gini tuh bikin aku pengen pulang aja, sumpah, tapi... ya udah, coba benerin, kak."
remaja,wanita,pesanan_salah,3,dialog_pesanan_salah,"Naya nghela napas panjang, matanya sempat melirik minuman itu lama banget. ""Hah... kak, ini jelas bukan teh yang aku pesen. Aku tuh udah nungguin yang simpel aja, jangan bikin aku makin pusing gitu dong..."" lalu dia nyengir tipis, agak pasrah, ""ya udah deh, makasih kak"""
remaja,wanita,pesanan_salah,4,dialog_pesanan_salah,"Ih kak, ini bukan teh... serius deh, aku udah capek banget nungguin dari tadi. Ya udah deh, sekarang bantuin mikir dong, biar aku gak makin kesel."
remaja,wanita,pesanan_salah,5,dialog_pesanan_salah,"Eh kak, ini bukan teh... salah lagi ya? Aku udah hampir nyerah nih, serius. Tapi... ya udah, coba dibenerin aja, aku tunggu."
remaja,wanita,pesanan_salah,6,dialog_pesanan_salah,"…ih, serius deh kak. Ini bukan teh, dan aku udah capek banget nungguin, jadi tolong dibenerin ya."
remaja,wanita,pesanan_salah,7,dialog_pesanan_salah,"...kak, ini bukan teh. Aku udah nungguin dari tadi, jadi ya agak kesel sih... coba yang bener, ya."
remaja,wanita,pesanan_salah,8,dialog_pesanan_salah,"Aduh kak, ini bukan teh... bikin kesel aja, serius. Aku udah nunggu dari tadi, terus salah lagi; aku nyender dulu deh, udah hampir nyerah nih."
remaja,wanita,pesanan_salah,9,dialog_pesanan_salah,"Kak, ini serius bukan teh... aduh, aku udah ngerasa kayak jalan muter di labirin dari tadi, terus yang datang malah begini. Tapi ya udah, maaf ya, aku ngomel kebanyakan—coba ulangi lagi, kak, yang teh beneran."
dewasa,pria,pesanan_salah,1,dialog_pesanan_salah,"...Hah. Kak, ini bukan teh. Tolong dibetulkan ya, saya pesan teh, bukan yang ini."
dewasa,pria,pesanan_salah,2,dialog_pesanan_salah,"...Bukan ini, kak. Saya pesan teh."
dewasa,pria,pesanan_salah,3,dialog_pesanan_salah,"Bukan ini, kak. Teh yang saya pesan—tolong dibetulkan sekarang."
dewasa,pria,pesanan_salah,4,dialog_pesanan_salah,"...Bukan ini, kak. Saya pesen teh. Tolong ganti yang benar."
dewasa,pria,pesanan_salah,5,dialog_pesanan_salah,"...Hah. Ini jelas bukan teh, kak. Saya pesan teh yang biasa, tolong ditukar."
dewasa,pria,pesanan_salah,6,dialog_pesanan_salah,"...Bukan ini, kak. Saya pesen teh."
dewasa,pria,pesanan_salah,7,dialog_pesanan_salah,"...kak, ini bukan teh. Tolong dibetulkan, ya."
dewasa,pria,pesanan_salah,8,dialog_pesanan_salah,"...Ini bukan teh, kak. Saya tunggu yang jelas, ya."
dewasa,pria,pesanan_salah,9,dialog_pesanan_salah,"""..."" Bayu menarik napas panjang, menatap minuman itu sebentar. ""Bukan ini, kak. Saya tunggu sebentar ya."""
dewasa,pria,pesanan_salah,10,dialog_pesanan_salah,"Ini bukan yang saya pesan, kak. ..."
dewasa,wanita,pesanan_salah,1,dialog_pesanan_salah,"...Hah, bukan ini. Kak, saya pesan teh. Tolong ganti yang benar, ya."
dewasa,wanita,pesanan_salah,2,dialog_pesanan_salah,"…Haaah. Bukan ini, kak. Aku pesan teh, tolong yang benar ya."
dewasa,wanita,pesanan_salah,3,dialog_pesanan_salah,"...kak, ini bukan teh. Tolong yang benar ya, saya sudah capek kalau harus ulang lagi."
dewasa,wanita,pesanan_salah,4,dialog_pesanan_salah,"*Nadya menarik napas panjang.* ""Hah... ini bukan teh, kak. Saya minta teh, tolong dibetulkan ya."""
dewasa,wanita,pesanan_salah,5,dialog_pesanan_salah,"...Kak, ini bukan teh. Saya tunggu yang benar."
dewasa,wanita,pesanan_salah,6,dialog_pesanan_salah,"...*Nadya menarik napas panjang.* Kak, ini bukan teh. Saya udah nunggu dari tadi, jadi... tolong dibenerin ya, saya lagi capek banget."
dewasa,wanita,pesanan_salah,7,dialog_pesanan_salah,"...Hah. Ini bukan teh, kak. Aku capek kalau harus ulang lagi, tapi tolong dibenerin ya."
dewasa,wanita,pesanan_salah,8,dialog_pesanan_salah,"*Mira menarik napas panjang.* Kak, ini bukan teh. Tolong dibetulkan, ya."
dewasa,wanita,pesanan_salah,9,dialog_pesanan_salah,"*Mira menarik napas panjang.* Bukan ini, kak. Saya pesen teh—tolong dicek lagi, ya."
dewasa,wanita,pesanan_salah,10,dialog_pesanan_salah,"Dinda menarik napas panjang, lalu menatap minumannya sebentar. ""Bukan ini, kak. Saya pesan teh."""
anak,pria,marah,1,dialog_marah,"...Bukan ini lagi, kak. Aku udah dua kali bilang teh, tapi masih salah juga. Ya udah, aku pergi aja."
anak,pria,marah,2,dialog_marah,"...Kak, salah lagi. Aku capek nunggu. Aku pergi dulu."
anak,pria,marah,3,dialog_marah,"Kak, ini udah yang ketiga. Aku capek nunggu, teh aja susah banget..."" Dito cemberut, ngetuk-ngetuk meja pelan, lalu berdiri sambil memalingkan muka. ""Udah, aku pergi aja."""
anak,pria,marah,4,dialog_marah,"Ih, kak, teh doang lho… udah dua kali salah. Dito capek nunggu, ya udah, nggak jadi deh!"
anak,pria,marah,5,dialog_marah,"...Kak, salah lagi. Aku udah nggak mau nunggu lagi. Hm. Aku pergi dulu, ya."
anak,pria,marah,6,dialog_marah,"...Iya deh, kak. Aku udah bilang teh dari tadi, tapi tetap salah terus. Nggak jadi, aku pulang aja."
anak,pria,marah,7,dialog_marah,"...Kak, aku udah bilang teh. Kok masih salah lagi sih..."
anak,pria,marah,8,dialog_marah,"...Kak, aku udah bilang teh. Dua kali salah juga. Haa... yaudah, aku pergi aja."
anak,pria,marah,9,dialog_marah,"...Kak, aku udah bilang teh. Tapi malah salah lagi. Bima pergi dulu ya."
anak,pria,marah,10,dialog_marah,"...Bukan teh, kak. Udah dua kali, lho. Aku pergi aja."
anak,wanita,marah,1,dialog_marah,"Kak... serius, aku udah bilang teh dari tadi, kok masih salah terus sih? Aku jadi capek banget, ih... yaudah deh, aku nggak jadi pesen lagi. Aku pergi ya, kak."
anak,wanita,marah,2,dialog_marah,"...Kak, Nina udah bilang teh. Dua kali salah juga. Ya udah, Nina pergi aja, capek..."
anak,wanita,marah,3,dialog_marah,"Kak... ini teh, lho. Aku udah bilang dari tadi, dan ini salah terus... ih serius deh, aku capek banget... \n\nUdah, nggak apa-apa, kak. Aku pergi dulu aja..."
anak,wanita,marah,4,dialog_marah,"Kak... aku udah bilang teh. Dua kali salah juga. Nia nggak mau nunggu lagi, ya. *mengernyit, diam sebentar, lalu pergi*"
anak,wanita,marah,5,dialog_marah,"...Kak, udah deh. Aku capek nungguin teh-nya, salah terus. Nggak jadi, aku pergi aja."
anak,wanita,marah,6,dialog_marah,"...Kak, Nara udah bilang teh. Tapi salah lagi. Hm—nggak jadi deh, Nara pergi aja."
anak,wanita,marah,7,dialog_marah,"Kak, ini teh dari tadi kok nggak datang-datang sih?! Aku udah nunggu dua kali, terus salah lagi… capek, lho! Yaudah deh, aku pulang aja, nggak mau nunggu di sini lagi."
anak,wanita,marah,8,dialog_marah,"Nadira cemberut, memalingkan wajah. ""Bukan ini lagi, kak... aku udah bilang teh."" Dia diam sebentar, lalu berdiri dan pergi tanpa menoleh."
anak,wanita,marah,9,dialog_marah,"...Kak, aku udah bilang teh dua kali, terus tadi juga salah. Aku capek nunggu, maaf ya. Aku pergi dulu."
anak,wanita,marah,10,dialog_marah,"Kak, ini teh aja kok bisa salah lagi sih? Aku udah bilang dari tadi, capek tau... huff. Nggak jadi, aku pulang aja. Nggak usah dibikinin lagi."
remaja,pria,marah,1,dialog_marah,"""Kak, ini teh aja kok tiga kali masih salah... aku udah bilang dari tadi, capek juga loh,"" Dika ngomel pelan sambil ngelus tengkuk, suaranya mulai meninggi ke arah sekitar. ""Udah deh, nggak usah dibikin ribet lagi, aku pergi aja dulu. Yaudah deh kak, bantuin mikir dong... lain kali jangan gini lagi ya."""
remaja,pria,marah,2,dialog_marah,"Aduh, kak, ini teh doang loh, masa salah lagi sih? Aku udah bilang dua kali, capek juga kalau harus ngulang terus, yang lain aja deh yang dengerin. Ya udah, aku pergi dulu, kak — lain kali lebih teliti aja, atau kalau bingung tanya dulu, biar nggak gini terus."
remaja,pria,marah,3,dialog_marah,"...Ya udah, kak. Tiga kali juga masih salah, capek aku. Bima ngedumel pelan sambil nyengir kecut, lalu ngelirik sebentar sebelum pergi. ""Teh doang, kok susah banget sih."""
remaja,pria,marah,4,dialog_marah,"Ih, ya ampun, teh doang masa salah lagi, kak? Udah dua kali tuh, serius deh... gue capek nungguin. Ya udah, gue cabut aja, kak, lain kali kalau belum siap jangan dipaksa dulu."
remaja,pria,marah,5,dialog_marah,"Ih, kak... aku tadi udah bilang teh, dua kali malah salah terus. Aku kesel banget, serius, tapi ya udah, gue capek juga... kalau kak masih mau bantu, kasih yang bener aja, jangan yang aneh-aneh lagi. Aku pergi dulu, kak, biar nggak makin emosi."
remaja,pria,marah,6,dialog_marah,"Waduh, ini teh masih aja belum datang, kak? Aku udah nunggu dua kali salah, masa yang terakhir juga bikin lama gini sih. Yaudah deh, aku cabut aja, capek nunggu terus—nggak jadi, kak."
remaja,pria,marah,7,dialog_marah,"Dio nyender sambil masang muka masam, ngedumel pelan. ""...Udah, kak. Gue capek nungguin dan tadi juga udah salah dua kali."" Dia lihat sebentar, lalu berdiri. ""Gue pergi aja dulu."""
remaja,pria,marah,8,dialog_marah,"Eh, serius deh, kak—udah dua kali salah, sekarang masih aja nggak bener. Gue capek, sumpah, teh doang masa ribet banget sih... ya udah, gue pergi aja. ...Maaf, kak, gue lagi capek banget, jadi gue beneran kesel."
remaja,pria,marah,9,dialog_marah,"...Ya udah deh, kak. Aku bingung aja dari tadi, teh-nya kok bisa terus salah, sih. Nggak apa-apa, aku pergi dulu."
remaja,pria,marah,10,dialog_marah,"Ih serius, kak... aku minta teh dari tadi, udah salah dua kali juga. Ya udah deh, kak, aku capek banget, parah... aku pergi aja."
remaja,wanita,marah,1,dialog_marah,"Ih serius ya, kak... aku udah bilang teh dari tadi, dua kali salah lagi. Aku capek banget, parah, udah nggak mau nunggu lagi, sumpek tahu nggak sih... *mendengus* yaudah, aku pergi aja deh."
remaja,wanita,marah,2,dialog_marah,"Teh doang, kak... dua kali masih kebalik juga? Aku udah coba sabar, tapi ini kayak nunggu hujan di musim kemarau, nggak turun-turun. Yaudah deh, aku cabut aja, keburu mood-ku ikutan dingin—makasih, kak, kalau udah rapi nanti lain kali kabarin aja."
remaja,wanita,marah,3,dialog_marah,"...Kak, teh aja udah aku bilang dari tadi. Aku tuh bingung banget sih, dua kali salah terus gitu... yaudah, aku pergi dulu ya."
remaja,wanita,marah,4,dialog_marah,"Kak, serius ya... aku udah bilang teh dua kali, dan masih aja salah. Aku capek banget, parah, beneran bikin aku mau nangis aja gitu... udah lah, aku pergi dulu. Jangan panggil aku kalau masih gitu, tapi... ya kalau nanti udah sepi, ngobrol aja, kak, aku lagi kesel banget."
remaja,wanita,marah,5,dialog_marah,"…Kak, udah dua kali, loh. Aku capek nungguin teh yang nggak datang-datang, jadi ya sudahlah. Aku pergi dulu, sebelum mood-ku keburu tumpah kayak cangkir retak."
remaja,wanita,marah,6,dialog_marah,"Kak, ini udah yang ketiga kalinya... aku pesen teh doang, serius, teh. Aku capek banget harus nunggu terus begini, padahal aku udah bilang dari tadi, ih... yaudah deh, aku pergi aja. Nggak apa-apa, kak, makasih..."
remaja,wanita,marah,7,dialog_marah,"Hah... kak, udah dua kali, ini bukan teh. Aku capek, serius. ""..."" Nggak apa-apa, aku pergi dulu ya."
remaja,wanita,marah,8,dialog_marah,"Teh aja, kak... tadi aku udah bilang dua kali, lho. ""Makasih, kak,"" tapi aku nggak jadi deh, aku mau pergi dulu."
remaja,wanita,marah,9,dialog_marah,"...Teh aja kok, kak. Aku udah nunggu dari tadi, ya udah deh, nggak usah. Makasih, kak."
remaja,wanita,marah,10,dialog_marah,"Kak... serius deh, aku udah bilang teh dari tadi, tapi masih salah lagi. Aku tuh udah nyoba sabar, tapi sekarang capek banget, ih... maaf ya, aku nggak jadi duduk lama-lama di sini.\n\nAku pergi dulu, kak. Lain kali kalau aku balik, tolong jangan salah lagi, ya..."
dewasa,pria,marah,1,dialog_marah,"...Sudah, kak. Saya nggak jadi pesan lagi. Saya pergi saja."
dewasa,pria,marah,2,dialog_marah,"""...Bukan ini, kak."" Arga menarik napas panjang, menatap teh yang salah sajian itu dengan muka masam. ""Sudah, saya pergi saja."""
dewasa,pria,marah,3,dialog_marah,"...Bukan ini lagi, kak. Saya sudah dua kali bilang teh, tapi tetap salah. Sudah, tidak usah repot—saya pergi."
dewasa,pria,marah,4,dialog_marah,"Kak, saya sudah bilang teh. Ini yang terakhir kali saya ulang. Saya minta waktu sebentar, saya lagi tidak enak hati—saya pergi dulu."
dewasa,pria,marah,5,dialog_marah,"... "". Sudah dua kali, kak. Saya nggak jadi pesan lagi."""
dewasa,pria,marah,6,dialog_marah,"Kak, saya sudah bilang teh. Sekali salah masih saya maklumi, ini sudah kelewat. Tidak usah repot—saya pergi saja."
dewasa,pria,marah,7,dialog_marah,"Sudah, kak. Saya nggak perlu nunggu lebih lama buat teh yang dari tadi nggak datang. Saya pergi sekarang—lain kali, kalau nggak siap, bilang saja dari awal."
dewasa,pria,marah,8,dialog_marah,"...Sudah cukup, kak. Saya tidak mau nunggu lagi. Tolong bereskan saja pesanan yang benar, atau saya pergi."
dewasa,pria,marah,9,dialog_marah,"...Sudah. Saya nggak mau nunggu lagi, kak. Teh saja bisa salah terus, ya jelas saya pergi saja."
